ACCENUMB,SPECIES,CROPNAME,ORIGCTY,NAMECTY,ADM1,DECLATITUDE,DECLONGITUDE
BGB-I,Phaseolus lunatus,frijol,MEX,Mexico,Yucatan,20.943,-89.7133
BGB-IV,Phaseolus lunatus,frijol,MEX,Mexico,Quintana Roo,19.9153,-89.1597
